%time,field.theta,field.phi,field.psi,field.theta_dot,field.phi_dot,field.psi_dot,field.psi_gyro_integration,field.dt,field.succ_read
1468016215530503034,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.57208252,0.00101861497387,1
1468016215531671047,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572097778,0.00127936294302,1
1468016215532742977,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572128296,0.00108944904059,1
1468016215533898115,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572158813,0.00117057200987,1
1468016215535015106,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572174072,0.00106574001256,1
1468016215536173105,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.57220459,0.00116690597497,1
1468016215537532091,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572235107,0.0013383210171,1
1468016215538392066,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572250366,0.000885159010068,1
1468016215539508104,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572265625,0.00113394798245,1
1468016215540745019,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572296143,0.00120903097559,1
1468016215542826890,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.57232666,0.00199527293444,1
1468016215543508052,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.57232666,0.000154830995598,1
1468016215544135093,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572357178,0.00101040699519,1
1468016215545120954,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572387695,0.00122177996673,1
1468016215546235084,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572402954,0.00115823897067,1
1468016215547375917,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572433472,0.0011251559481,1
1468016215548449993,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.57244873,0.0011149890488,1
1468016215549606084,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572463989,0.00112628098577,1
1468016215550806999,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572479248,0.00110686395783,1
1468016215551862955,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572509766,0.0011352810543,1
1468016215552922010,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572525024,0.00100132403895,1
1468016215554066896,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572555542,0.00122419605032,1
1468016215555263996,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572570801,0.00112140597776,1
1468016215556446075,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.57258606,0.00112382299267,1
1468016215558873891,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572631836,0.0022323129233,1
1468016215559652090,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572631836,0.000135665002745,1
1468016215560256004,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572662354,0.00100986496545,1
1468016215561006069,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572692871,0.00123698799871,1
1468016215562407016,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.57270813,0.0013886539964,1
1468016215563200950,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572738647,0.000752909982111,1
1468016215564208030,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572753906,0.0011135309469,1
1468016215565398931,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572769165,0.00115490600001,1
1468016215566582918,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572799683,0.00122140499298,1
1468016215567543029,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572814941,0.000995366019197,1
1468016215568660974,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572845459,0.00111169798765,1
1468016215569864988,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572860718,0.00115707295481,1
1468016215570961952,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572891235,0.00108119798824,1
1468016215572043895,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572921753,0.00117115594912,1
1468016215573285102,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572937012,0.00122628000099,1
1468016215574284076,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572967529,0.000993698951788,1
1468016215575390100,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.572998047,0.00115711404942,1
1468016215576484918,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.573013306,0.00108186504804,1
1468016215577583074,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.573028564,0.00111711502541,1
1468016215578893899,3.25,-1.296875,192.960418701,-0.492927730083,-0.553772270679,0.527931451797,157.573059082,0.00124532205518,1
